year,master_chronology1,61258
1175,1.006380373,NA
1176,1.062944718,NA
1177,1.10490343,NA
1178,0.927373574,NA
1179,-0.278769278,NA
1180,1.405284406,NA
1181,1.555436027,NA
1182,0.473219995,NA
1183,1.196778063,NA
1184,-0.014709953,NA
1185,1.758110809,NA
1186,2.604433743,NA
1187,0.819294702,NA
1188,1.00865474,NA
1189,0.909459458,NA
1190,-0.025906179,NA
1191,0.95477146,NA
1192,1.079022814,NA
1193,0.153111433,NA
1194,0.297869187,NA
1195,1.162074599,NA
1196,0.600963451,NA
1197,2.794410777,NA
1198,1.248749159,NA
1199,0.302958994,NA
1200,1.554169506,NA
1201,1.419923149,NA
1202,1.229017389,NA
1203,0.882115948,NA
1204,1.051256191,NA
1205,0.112080265,NA
1206,0.470300266,NA
1207,0.150195043,NA
1208,0.609344276,NA
1209,0.309970121,NA
1210,0.609822896,NA
1211,0.371279938,NA
1212,0.698428264,NA
1213,0.399219572,NA
1214,0.807185165,NA
1215,5.876487412,NA
1216,1.167138229,NA
1217,0.527351969,NA
1218,1.241346584,NA
1219,1.03611788,NA
1220,0.273335027,NA
1221,1.010239655,NA
1222,0.276355627,NA
1223,-0.256904261,NA
1224,0.640089627,NA
1225,0.709833106,NA
1226,1.561121133,NA
1227,0.360317451,NA
1228,-0.03837127,NA
1229,0.109196557,NA
1230,1.541196928,NA
1231,1.857005025,NA
1232,2.782988676,NA
1233,1.658181013,NA
1234,3.067872168,NA
1235,0.379651646,NA
1236,0.482003583,NA
1237,0.316833904,NA
1238,-0.073594642,NA
1239,0.948046239,NA
1240,0.738287711,NA
1241,-0.201199839,NA
1242,0.84632294,NA
1243,1.587746579,NA
1244,0.999603398,NA
1245,2.165793182,NA
1246,2.302152773,NA
1247,1.589232188,NA
1248,1.981995174,NA
1249,0.158968193,NA
1250,0.180924109,NA
1251,0.459407445,NA
1252,0.297477775,NA
1253,0.582474838,NA
1254,-0.067350023,NA
1255,-0.106008111,NA
1256,1.408269281,NA
1257,1.47580012,NA
1258,1.334336506,NA
1259,1.367998246,NA
1260,2.372499891,NA
1261,2.027533484,NA
1262,0.591318346,NA
1263,0.925937584,NA
1264,1.196313894,NA
1265,1.849312094,NA
1266,0.795098858,NA
1267,0.767513114,NA
1268,0.100890727,NA
1269,-0.194649907,NA
1270,-0.513533485,NA
1271,2.906907771,NA
1272,1.564869686,NA
1273,0.444273566,NA
1274,0.260796299,NA
1275,1.321265929,NA
1276,1.418456884,NA
1277,3.345380777,NA
1278,0.72689707,NA
1279,0.394138299,NA
1280,-0.114301629,NA
1281,1.415785144,NA
1282,-0.195072092,NA
1283,1.120629135,NA
1284,0.305023676,NA
1285,1.366519098,NA
1286,1.498518117,NA
1287,1.472422425,NA
1288,1.500794851,NA
1289,1.100577694,NA
1290,1.37403747,NA
1291,1.621616204,NA
1292,1.385292781,NA
1293,0.499609447,NA
1294,0.125439134,NA
1295,0.312324932,NA
1296,0.222816666,NA
1297,2.744747505,NA
1298,2.1169453,NA
1299,0.879790556,NA
1300,0.54532052,NA
1301,1.199826603,NA
1302,2.016392116,NA
1303,0.572123542,NA
1304,-0.019153519,NA
1305,1.124182445,NA
1306,0.029636448,NA
1307,0.5696867,NA
1308,0.78621648,NA
1309,1.456524242,NA
1310,0.142588765,NA
1311,3.449163645,NA
1312,-0.010399427,NA
1313,1.016100347,NA
1314,0.954750918,NA
1315,0.694472806,NA
1316,3.445039452,NA
1317,1.493893545,NA
1318,0.61008818,NA
1319,0.618082507,NA
1320,0.823135421,NA
1321,0.433059655,NA
1322,0.903438234,NA
1323,0.52760017,NA
1324,1.56037563,NA
1325,1.646487444,NA
1326,1.265368122,NA
1327,1.494881765,NA
1328,-0.507684962,NA
1329,-0.664778559,NA
1330,1.89979736,NA
1331,2.664103058,NA
1332,-0.575279726,NA
1333,0.333317577,NA
1334,0.55550546,NA
1335,-0.008640367,NA
1336,1.812563226,NA
1337,0.854710403,NA
1338,1.237428485,NA
1339,3.909157105,NA
1340,1.496775794,NA
1341,0.848460168,NA
1342,1.47296411,NA
1343,-0.054165196,NA
1344,-0.090915614,NA
1345,0.313968905,NA
1346,1.237048283,NA
1347,-0.419542806,NA
1348,0.600252207,NA
1349,0.665982072,NA
1350,0.955171621,NA
1351,1.978833683,NA
1352,1.32676882,NA
1353,1.099345617,NA
1354,1.414842002,NA
1355,2.203604705,NA
1356,1.24772627,NA
1357,0.650206952,NA
1358,0.42263726,NA
1359,0.153905574,NA
1360,1.259257224,NA
1361,2.070331186,NA
1362,1.399659078,NA
1363,-0.418833131,NA
1364,0.236643445,NA
1365,1.243097604,NA
1366,1.318901612,NA
1367,-0.076255275,NA
1368,1.023627483,NA
1369,1.546386816,NA
1370,0.945273025,NA
1371,1.366373285,NA
1372,1.986665986,NA
1373,1.790577301,NA
1374,1.318219657,NA
1375,1.419181788,NA
1376,0.427772913,NA
1377,0.445761529,NA
1378,0.462639169,NA
1379,0.554631256,NA
